Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,league
10/02/2019,Ath Bilbao,Barcelona,0,0,D,13,10,5,2,23,10,6,4,4,2,1,0,LL
10/02/2019,Leganes,Betis,3,0,H,16,3,4,1,22,11,4,4,4,2,0,1,LL
10/02/2019,Sevilla,Eibar,2,2,D,13,8,4,4,11,7,9,7,4,2,1,0,LL
10/02/2019,Valencia,Sociedad,0,0,D,10,8,4,1,11,18,7,5,2,4,0,0,LL
11/02/2019,Alaves,Levante,2,0,H,16,8,4,0,14,18,3,10,3,2,0,0,LL
15/02/2019,Eibar,Getafe,2,2,D,11,7,6,4,12,12,3,3,2,2,0,0,LL
16/02/2019,Barcelona,Valladolid,1,0,H,20,10,8,0,12,18,3,5,1,3,0,0,LL
16/02/2019,Celta,Levante,1,4,A,14,14,7,8,12,17,5,7,1,1,1,0,LL
16/02/2019,Sociedad,Leganes,3,0,H,15,8,6,3,10,16,4,1,4,2,0,0,LL
16/02/2019,Vallecano,Ath Madrid,0,1,A,12,4,6,3,10,14,4,6,0,1,0,0,LL
17/02/2019,Betis,Alaves,1,1,D,19,6,10,3,10,12,6,3,4,1,0,0,LL
17/02/2019,Real Madrid,Girona,1,2,A,19,14,7,6,13,18,7,0,3,2,1,0,LL
17/02/2019,Valencia,Espanol,0,0,D,21,6,1,1,12,10,10,2,2,4,0,1,LL
17/02/2019,Villarreal,Sevilla,3,0,H,12,21,6,5,7,12,6,4,4,1,0,0,LL
18/02/2019,Huesca,Ath Bilbao,0,1,A,12,9,2,4,16,11,3,5,5,1,0,0,LL
22/02/2019,Espanol,Huesca,1,1,D,13,13,2,4,9,16,7,4,2,4,0,0,LL
23/02/2019,Alaves,Celta,0,0,D,17,8,4,2,15,9,3,4,2,2,0,0,LL
23/02/2019,Ath Bilbao,Eibar,1,0,H,9,7,4,2,10,17,10,2,3,4,0,0,LL
23/02/2019,Getafe,Vallecano,2,1,H,11,7,2,2,12,13,2,2,2,1,0,0,LL
23/02/2019,Sevilla,Barcelona,2,4,A,13,17,4,8,15,11,3,8,6,1,0,0,LL
24/02/2019,Ath Madrid,Villarreal,2,0,H,15,14,7,3,9,10,6,7,0,3,0,0,LL
24/02/2019,Leganes,Valencia,1,1,D,17,6,6,1,14,10,4,2,5,3,0,0,LL
24/02/2019,Levante,Real Madrid,1,2,A,11,19,2,5,17,11,4,6,5,3,1,1,LL
24/02/2019,Valladolid,Betis,0,2,A,10,6,2,3,10,9,13,4,1,2,0,0,LL
25/02/2019,Girona,Sociedad,0,0,D,10,7,3,1,26,15,3,5,4,1,0,0,LL
01/03/2019,Vallecano,Girona,0,2,A,9,12,3,4,17,23,7,1,3,4,1,0,LL
02/03/2019,Espanol,Valladolid,3,1,H,15,14,6,3,17,8,5,3,2,2,0,0,LL
02/03/2019,Huesca,Sevilla,2,1,H,7,12,3,5,15,16,3,12,5,4,0,0,LL
02/03/2019,Real Madrid,Barcelona,0,1,A,17,10,3,4,16,13,8,6,3,2,0,0,LL
02/03/2019,Villarreal,Alaves,1,2,A,9,10,2,2,15,12,8,2,2,3,0,0,LL
03/03/2019,Betis,Getafe,1,2,A,6,11,2,5,14,14,4,4,2,2,0,0,LL
03/03/2019,Eibar,Celta,1,0,H,15,3,4,1,14,16,7,0,1,1,0,0,LL
03/03/2019,Sociedad,Ath Madrid,0,2,A,19,8,3,3,12,17,7,3,1,4,0,1,LL
03/03/2019,Valencia,Ath Bilbao,2,0,H,11,4,3,1,12,13,6,2,0,3,0,0,LL
04/03/2019,Leganes,Levante,1,0,H,14,15,3,4,15,10,2,2,6,4,0,0,LL
08/03/2019,Ath Bilbao,Espanol,1,1,D,15,5,6,2,13,20,7,0,3,5,0,0,LL
09/03/2019,Alaves,Eibar,1,1,D,16,20,3,3,10,18,3,5,1,1,0,0,LL
09/03/2019,Ath Madrid,Leganes,1,0,H,13,3,4,2,9,7,4,4,2,2,0,0,LL
09/03/2019,Barcelona,Vallecano,3,1,H,12,8,6,1,12,17,10,4,1,2,0,0,LL
